Model,AUC-ROC,Avg Precision,Threshold,F1 (weighted),F1 (severe=1),Recall (severe),Prec. (severe),Fit time (s),timestamp
Voting Ensemble,0.7873,0.6121,0.52,0.7344,0.5677,0.6882,0.4831,0.0,2026-04-30 21:21
XGBoost (GPU),0.7868,0.6118,0.53,0.7377,0.567,0.6756,0.4884,1.3,2026-04-30 21:21
CatBoost (GPU),0.7855,0.607,0.52,0.7301,0.5633,0.688,0.4769,2.4,2026-04-30 21:21
Random Forest,0.7827,0.6068,0.52,0.7317,0.5619,0.6784,0.4795,2.9,2026-04-30 21:21
Logistic Regression,0.7098,0.4482,0.48,0.6115,0.5036,0.7833,0.3711,0.6,2026-04-30 21:21
Voting Ensemble,0.7927,0.5891,0.52,0.741,0.5747,0.6894,0.4927,0.0,2026-04-30 21:26
XGBoost (GPU),0.792,0.5861,0.53,0.7421,0.5734,0.6819,0.4947,2.3,2026-04-30 21:26
CatBoost (GPU),0.7904,0.5838,0.57,0.7544,0.5705,0.632,0.5199,2.5,2026-04-30 21:26
Random Forest,0.7891,0.5824,0.51,0.7312,0.5679,0.6988,0.4783,3.7,2026-04-30 21:26
Logistic Regression,0.7517,0.5089,0.54,0.7139,0.5309,0.638,0.4546,1.2,2026-04-30 21:26
Voting Ensemble,0.8054,0.6277,0.57,0.7672,0.5853,0.6329,0.5444,0.0,2026-04-30 21:29
XGBoost (GPU),0.8044,0.6245,0.55,0.7582,0.584,0.6608,0.5232,2.6,2026-04-30 21:29
CatBoost (GPU),0.8028,0.6205,0.54,0.7541,0.583,0.6721,0.5148,2.6,2026-04-30 21:29
Random Forest,0.8007,0.6201,0.53,0.7523,0.5782,0.6629,0.5127,4.3,2026-04-30 21:29
Logistic Regression,0.7649,0.5489,0.52,0.7162,0.5453,0.6735,0.4581,1.3,2026-04-30 21:29
Voting Ensemble,0.7962,0.6032,0.55,0.7539,0.575,0.6477,0.517,0.0,2026-04-30 21:32
XGBoost (GPU),0.7949,0.5985,0.52,0.7415,0.5737,0.6847,0.4937,2.8,2026-04-30 21:32
CatBoost (GPU),0.7936,0.5958,0.56,0.7548,0.5739,0.6411,0.5195,2.7,2026-04-30 21:32
Random Forest,0.7916,0.5962,0.54,0.75,0.5697,0.6442,0.5106,5.1,2026-04-30 21:32
Logistic Regression,0.7519,0.5208,0.53,0.7152,0.5332,0.6409,0.4564,1.6,2026-04-30 21:32
